sampleId	accession	fq
CGG_2_14703	CGG_2_14703-lib-019	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2G_TGATCC-TAGCGA_L007_R1_002.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-020	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2H_GATGGA-TAGCGA_L006_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-021	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2H_GATGGA-TAGCGA_L006_R1_002.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-022	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2H_GATGGA-TAGCGA_L007_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-023	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2H_GATGGA-TAGCGA_L007_R1_002.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-024	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2I_CAGATC-AGCTCT_L006_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-025	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2I_CAGATC-AGCTCT_L007_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-026	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2J_CTTGTA-AGCTCT_L006_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-027	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2J_CTTGTA-AGCTCT_L007_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-028	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2K_TGATCG-AGCTCT_L006_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-029	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2K_TGATCG-AGCTCT_L007_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-030	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2L_GCAACG-AGCTCT_L006_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-031	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2L_GCAACG-AGCTCT_L007_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-032	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3A_GTGTAT-GACTTC_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-033	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3A_GTGTAT-GACTTC_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-034	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3A_GTGTAT-GACTTC_L007_R1_002_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-035	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3A_GTGTAT-GACTTC_L007_R1_002_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-036	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3B_CAGCTA-GACTTC_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-037	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3B_CAGCTA-GACTTC_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-038	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3B_CAGCTA-GACTTC_L007_R1_002_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-039	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3B_CAGCTA-GACTTC_L007_R1_002_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-040	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3B_CAGCTA-GACTTC_L007_R1_003_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-041	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3B_CAGCTA-GACTTC_L007_R1_003_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-042	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3B_CAGCTA-GACTTC_L007_R1_004_20170202_hiseq6b.trim.fq.gz
